Country,Latitude,Longitude,Capital,elevation,dis
Nicaragua,12.1328,-86.2504,Managua,104,1
Niger,13.5137,2.1098,Niamey,202,0
Nigeria,9.0574,7.4898,Abuja,484,0
Norway,59.9127,10.7461,Oslo,27,1
Oman,23.6139,58.5922,Muscat,10,1
Pakistan,33.7035,73.0594,Islamabad,555,0
Palau,7.3426,134.4789,Melekeok,15,1
Panama,8.9958,-79.5196,Panama City,16,1
Papua New Guinea,-9.4431,147.1797,Port Moresby,79,1
Paraguay,-25.3007,-57.6359,Asuncion,123,0
Peru,-12.0432,-77.0282,Lima,155,1
Philippines,14.6042,120.9822,Manila,9,1
Poland,52.2298,21.0118,Warsaw,113,0
Portugal,38.7169,-9.1399,Lisbon,55,1
Qatar,25.2747,51.5245,Doha,16,1
South Korea,37.5683,126.9778,Seoul,37,0
Moldova,47.0056,28.8575,Chisinau,62,0
Romania,44.4328,26.1043,Bucharest,84,0
Russia,55.755,37.6218,Moscow,154,0
Rwanda,-1.9474,30.0579,Kigali,1532,0
Saint Kitts and Nevis,17.2948,-62.7261,Basseterre,7,1
Saint Lucia,14.006,-60.991,Castries,22,1
Saint Vincent and the Grenadines,13.1587,-61.2248,Kingstown,21,1
Samoa,-13.8333,-171.7667,Apia,3,1
San Marino,43.9333,12.45,San Marino,695,1
Sao Tome and Principe,0.3365,6.7273,Sao Tome,11,1
Saudi Arabia,24.6905,46.7096,Riyadh,610,0
Senegal,14.6937,-17.4441,Dakar,10,1
Serbia,44.8176,20.4633,Belgrade,115,0
Seychelles,-4.6167,55.45,Victoria,66,1
Sierra Leone,8.484,-13.2299,Freetown,48,1
Singapore,1.2897,103.8501,Singapore,15,1
Slovakia,48.1482,17.1067,Bratislava,163,0
Slovenia,46.0511,14.5051,Ljubljana,300,0
Solomon Islands,-9.4333,159.95,Honiara,30,1
Somalia,2.0416,45.3435,Mogadishu,25,1
South Africa,-33.9258,18.4232,Cape Town,25,1
South Sudan,4.8517,31.5825,Juba,512,0
Spain,40.4165,-3.7026,Madrid,651,0
Sri Lanka,6.9319,79.8478,Colombo,9,1
Sudan,15.5518,32.5324,Khartoum,386,0
Suriname,5.8664,-55.1668,Paramaribo,4,1
Eswatini,-26.3167,31.1333,Mbabane,1195,0
Sweden,59.3326,18.0649,Stockholm,21,1
Switzerland,46.9481,7.4474,Berne,554,0
Syria,33.5086,36.3084,Damascus,700,0
Tajikistan,38.5358,68.7791,Dushanbe,770,0
North Macedonia,42,21.4333,Skopje,283,0
Thailand,13.722,100.5252,Bangkok,8,1
East Timor,-8.5601,125.5668,Dili,8,1
Togo,6.1375,1.2123,Lome,4,1
Tonga,-21.1394,-175.2032,Nuku’alofa,5,1
Trinidad and Tobago,10.6662,-61.5166,Port-of-Spain,21,1
Tunisia,36.819,10.1658,Tunis,26,1
Turkey,39.9199,32.8543,Ankara,869,0
Turkmenistan,37.95,58.3833,Ashgabat,219,0
Tuvalu,-8.5189,179.1991,Funafuti,4,1
Uganda,0.3163,32.5822,Kampala,1224,1
Ukraine,50.4454,30.5186,Kiev,165,0
United Arab Emirates,24.4648,54.3618,Abu Dhabi,9,1
United Kingdom,51.5085,-0.1257,London,23,1
Tanzania,-6.1722,35.7395,Dodoma,1123,0
United States,38.8951,-77.0364,Washington D.C.,12,1
Uruguay,-34.8335,-56.1674,Montevideo,44,1
Uzbekistan,41.2647,69.2163,Tashkent,426,0
Vanuatu,-17.7338,168.3219,Port-Vila,56,1
Venezuela,10.488,-66.8792,Caracas,894,1
Vietnam,21.0245,105.8412,Hanoi,10,0
Yemen,15.3531,44.2078,Sanaa,2252,0
Zambia,-15.4134,28.2771,Lusaka,1279,0
Zimbabwe,-17.8294,31.0539,Harare,1481,0
